1;13:39:40;Casual Dinnerware;13:39:40;108
3;13:34:10;BLM Merchandise;13:34:10;27
3;13:34:10;BLM Merchandise;13:35:28;24
3;13:34:10;Eloquence 1;13:35:01;27
3;13:34:10;Fine Dining 1;13:34:37;21
3;13:34:10;Mitchelle Gold;13:34:58;3
4;15:42:09;BLM Merchandise;15:42:09;90
7;10:22:31;Entrance;10:23:19;15
7;10:22:31;Ralph Laurent Furnitures 1;10:22:31;48
8;12:53:58;Magnolia;12:53:58;60
9;12:56:46;Caracole 7;12:56:46;123
9;12:56:46;Van Thiel 1;12:58:49;60
10;15:49:39;Textile & Bedding 4;15:49:39;90
13;10:46:22;Benhardt 1;10:48:28;6
13;10:46:22;Benhardt 1;10:50:37;9
13;10:46:22;Benhardt 3;10:48:22;3
13;10:46:22;Benhardt 4;10:50:22;3
13;10:46:22;BLM Merchandise;10:52:31;6
13;10:46:22;BLM Merchandise;10:53:22;12
13;10:46:22;BLM Merchandise;10:54:19;33
13;10:46:22;BLM Merchandise;10:59:01;108
13;10:46:22;BLM Merchandise;11:04:40;63
13;10:46:22;BLM Merchandise;11:10:22;33
13;11:23:55;BLM Merchandise;11:25:19;21
13;11:23:55;BLM Merchandise;11:25:55;24
13;10:46:22;C-Wonder;11:03:37;63
13;11:23:55;C-Wonder;11:25:40;3
13;10:46:22;Campo;10:52:43;6
13;10:46:22;Campo;10:53:46;15
13;10:46:22;Caracole 2;10:48:25;3
13;10:46:22;Caracole 5;10:48:10;3
13;10:46:22;Caracole 6;10:49:28;15
13;10:46:22;Caracole 9;10:51:13;12
13;11:23:55;Casual Dining 2;11:27:40;126
13;10:46:22;Eichholtz 1;10:48:13;3
13;10:46:22;Eichholtz 2;10:48:04;6
13;10:46:22;Eichholtz 2;10:51:25;12
13;10:46:22;Eloquence 1;10:54:01;12
13;10:46:22;Eloquence 1;11:09:43;27
13;10:46:22;Eloquence 2;11:07:46;39
13;10:46:22;Fendi Home 1;10:47:25;39
13;10:46:22;Fendi Home 2;10:50:19;3
13;10:46:22;Fendi Home 3;10:49:16;12
13;10:46:22;Fendi Home 3;10:50:25;12
13;10:46:22;Fendi Home 4;10:48:16;6
13;10:46:22;Fendi Home 4;10:49:04;12
13;10:46:22;Fendi Home 4;10:50:13;6
13;10:46:22;Fendi Home 4;10:50:46;27
